Semana,Horário,Localidade,Waze,Mes_Referencia,data
Quarto Domingo, 16h , Lavras ,"https://www.waze.com/en/live-map/directions/br/sp/r.-barra-dos-mendes,-388?place=ChIJfbKXm3mJzpQRYWfZY0x7KF4",Data Março,2026-03-22
Primeiro Sabado, 16h , Macedo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-consul-orestes-correa,-610?place=ChIJjfzfEk31zpQRt1TOu53N1xM",Data Março,2026-03-07
Quarto Domingo, 16h , Maria Paula ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-paula-mota,-961?place=ChIJFRdDszeJzpQROPli0PPBCOY",Data Março,2026-03-22
Quarto Sabado, 17h , Novo Recreio ,"https://www.waze.com/en/live-map/directions/br/sp/av.-palmira-rossi,-2983?place=ChIJcYKbkVKLzpQRnzqZPj7e1qU",Data Março,2026-03-28
Segundo Sabado, 19:30h , Orquidiama ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pedra-do-sino,-137?place=ChIJeaVPt7iIzpQR4hhlXL997Ok",Data Março,2026-03-14
Terceiro Sabado, 17h , Ponte Grande ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eunice,-117?place=ChIJ5ZQpTnxfzpQRepz_yltgLLU",Data Março,2026-03-21
Terceiro Sabado, 17h , Pq. Continental I ,"https://www.waze.com/en/live-map/directions/br/sp/av.-koki-koga,-245?place=ChIJLcRQ3ff0zpQREc051CvMNoQ",Data Março,2026-03-21
Primeiro Sabado, 17h , Pq. Continental III ,"https://www.waze.com/en/live-map/directions/br/sp/r.-shirlei-neves-gomes,-119?place=ChIJW5ZgJmD0zpQRwzZooaBLAgU",Data Março,2026-03-07
Primeiro Sabado, 17h , Pq. Continental V ,"https://www.waze.com/en/live-map/directions/br/sp/r.-benedito-caetano-da-cruz,-512?place=ChIJewqoScT0zpQRlnS0HbTq4zU",Data Março,2026-03-07
Primeiro Sabado, 17h , Pq. Das Nações ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ilha-bela,-153?place=ChIJkQmgV3BizpQRHcsXVnInovM",Data Março,2026-03-07
Segundo Sexta, 19:30h , Pq. Flamengo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-20,-39?place=ChIJU2cYgMz0zpQRFrVqhKQeFTw",Data Março,2026-03-13
Quarto Sabado, 17h , Pq. Industrial ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pouso-redondo,-77?place=ChIJx85dPAZizpQRhRmzLgtawfc",Data Março,2026-03-28
Quarto Domingo, 16h , Pq. Jandaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-porto-alegre,-224?place=ChIJvZXKIVlizpQRGNsCzPYht7A",Data Março,2026-03-22
Segundo Sabado, 17h , Pq. Mikail II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jorcelino-manoel-machado,-144?place=ChIJVYl6_j6LzpQRdi8sSySPjQE",Data Março,2026-03-14
Primeiro Domingo, 16h , Pq. Primavera ,"https://www.waze.com/en/live-map/directions/br/sp/rua-andromeda,-534?place=ChIJaZBzyROLzpQRWrbLSxvU3Us",Data Março,2026-03-01
Terceiro Sabado, 17h , Pq. Resid. Bambi ,"https://www.waze.com/en/live-map/directions/br/sp/r.-hibisco,-157?place=ChIJIbvdqQOJzpQRXL1z_qp1rOI",Data Março,2026-03-21
Primeiro Sabado, 17h , Pq. Santo Antônio ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-jose,-148?place=ChIJ32f1cqf1zpQRo_BxK6qIdS8",Data Março,2026-03-07
Primeiro Domingo, 16h , Pq. São Luiz ,https://ul.waze.com/ul?place=ChIJUc1NNRqKzpQRw_553QDq_6A&ll=-23.43187060%2C-46.44653440&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Data Março,2026-03-01
Segundo Sabado, 17h , Pq. São Miguel ,"https://www.waze.com/en/live-map/directions/br/sp/r.-teofilo-castanho,-281?place=ChIJXywxBF1izpQRx37enfeozsw",Data Março,2026-03-14
Último Sabado, 17h , Pq. Stos Dumont ,"https://www.waze.com/en/live-map/directions/br/sp/r.-dos-dantas,-440?place=ChIJbceYerCLzpQRcQemoGB0jC0",Data Março,2026-02-28
Segundo Sabado, 17h , Pq. Uirapuru ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piquete-carneiro,-40?place=ChIJBcTuCOhhzpQRjlWkiGkGoSY",Data Março,2026-03-14
Quarto Sabado, 19:30h , Recreio S. Jorge ,"https://www.waze.com/en/live-map/directions/br/sp/av.-palmira-rossi,-303?place=ChIJ25hXlLL0zpQRU2e0-lUyw8E",Data Março,2026-03-28
Quarto Sabado, 19h , Sesi-Cocaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-conceicao-dos-ouros,-418?place=ChIJzx4uOsn0zpQR2IDFyqPeKWw",Data Março,2026-03-28
Último Sabado, 19:30h , Sit. S. Francisco ,"https://www.waze.com/en/live-map/directions/br/sp/r.-seis,-336?place=ChIJly_6-vlizpQRZ8BdSulGgfw",Data Março,2026-02-28
Terceiro Sabado, 17h , Vila Alzira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gianeto,-25?place=ChIJTz_RRBpizpQRdMpYL1V7gkU",Data Março,2026-03-21
Último Sabado, 17h , Vila Anny ,"https://www.waze.com/en/live-map/directions/br/sp/r.-constantina,-128?place=ChIJ_aiE2QhjzpQR8u1KMzBYoWA",Data Março,2026-02-28
Segundo Sabado, 17h , Vila Barros ,"https://www.waze.com/en/live-map/directions/br/sp/r.-fortaleza-de-minas,-199?place=ChIJccAejr6KzpQRm8pzgUfyECo",Data Março,2026-03-14
Último Sabado, 17h , Vila Carmela ,"https://www.waze.com/en/live-map/directions/br/sp/r.-manoel-reis-da-silva,-444?place=ChIJuRcePU6IzpQRijZru7PsWHY",Data Março,2026-02-28
Quarto Domingo, 16h , Vila Das Malvinas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-um,-14?place=ChIJnwT1IAKLzpQRURK2YPt1bXc",Data Março,2026-03-22
Quarto Domingo, 16h , Vila Endres ,"https://www.waze.com/en/live-map/directions/br/sp/av.-guilherme-schmidt,-7?place=ChIJC2RWQoZfzpQReaoQfphnfME",Data Março,2026-03-22
Segundo Sabado, 17h , Vila Flora ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gen.-camara,-86?place=ChIJuYgPbHdfzpQRoKGFIRVAa7A",Data Março,2026-03-14
Quarto Domingo, 16h , Vila Galvão ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-francisco,-180?place=ChIJ2wMve7H1zpQRJtCCpNA7RWQ",Data Março,2026-03-22
Quarto Sabado, 17h , Vila Operária ,"https://www.waze.com/en/live-map/directions/br/sp/r.-vicente-de-paula,-92?place=ChIJR4y7Vuz0zpQRDxqpqjBwzKc",Data Março,2026-03-28
Terceiro Sabado, 17h , Vila Paraíso ,"https://www.waze.com/en/live-map/directions/br/sp/av.-santa-helena,-889?place=ChIJVTONIAxizpQRvc0iez4Wl8A",Data Março,2026-03-21
Segundo Sabado, 17h , Vila São João ,"https://www.waze.com/en/live-map/directions/br/sp/viela-servidao-particular-de-passagem,-11?place=ChIJRfBnVrSLzpQR6D1CL2tpc1w",Data Março,2026-03-14
Quarto Domingo, 16h , Vila São José ,"https://www.waze.com/en/live-map/directions/br/sp/r.-santa-maria,-245?place=ChIJubLN9DmIzpQRnLGULUT0R3k",Data Março,2026-03-22
Terceiro Sabado, 17h , Vila Torre ,"https://www.waze.com/en/live-map/directions/br/sp/r.-dos-eucaliptos,-38?place=ChIJyUUa0bf0zpQRT6TN5-Uz7CA",Data Março,2026-03-21
Quarto Domingo, 16h , Vila União ,"https://www.waze.com/en/live-map/directions/br/sp/r.-topazio,-154?place=ChIJF_bNDAyLzpQRiQ8PviO52F8",Data Março,2026-03-22
Último Sabado, 17:h , Vila Dinamarca ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ibirapoa,-43?place=ChIJaRwECNWJzpQR5k4YTw5O9Ys",Data Março,2026-02-28
Primeiro Domingo, 16h , Vila N. Bonsucesso ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jacaraci,-140?place=ChIJIY2SDrOJzpQRR3uuYJTA2TY",Data Março,2026-03-01
Último Sabado, 17h , Vila S. João Batista ,"https://www.waze.com/en/live-map/directions/br/sp/r.-capela-do-alto,-28?place=ChIJIQNdyNT0zpQRbUEbgFWBBuA",Data Março,2026-02-28
Primeiro Domingo, 16h , Agua Azul ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJFZ3jGQCJzpQRHEKOqOr7_vM,Data Abril,2026-04-05
Primeiro Domingo, 16h , Bom Clima ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil-bom-clima?place=ChIJuQKcQwD1zpQRW0v63AnWtSM,Data Abril,2026-04-05
Primeiro Domingo, 16h , Bairro Pimentas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-corumba,-157?place=ChIJ28dXgzZizpQRil9JyOOQ1iE",Data Abril,2026-04-05
Terceiro Sabado, 17h , Cabuçu - Km18 ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-guilhermina,-285?place=ChIJ385oXJ70zpQRnCB-5ACm2MQ",Data Abril,2026-04-18
Último Domingo, 16h , Cid. Aracilia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-cambera,-550?place=ChIJj6u5jqhizpQR35pXYgFyN9Q",Data Abril,2026-03-29
Primeiro Sabado, 17h , Cid. Jard. Cumbica ,"https://www.waze.com/en/live-map/directions/br/sp/av.-joao-veloso-da-silva,-366?place=ChIJbfY1AYSKzpQRKXcsiIN7dBY",Data Abril,2026-04-04
Primeira Sexta, 19:30h , Cid.Nova Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-caxambu,-181?place=ChIJNX0MFdOLzpQRWByPv-b3ZDw",Data Abril,2026-04-03
Segundo Sabado, 17h , Cid. Sob. Mar. Clara ,https://www.waze.com/en/live-map/directions/br/sp/maria-clara?place=ChIJLWIHVWGJzpQRLWFq6R6Hu4Y,Data Abril,2026-04-11
Primeiro Domingo, 16h , Cid. Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ponta-grossa,-574?place=ChIJhQ8P7diLzpQRxPWS_tt4dc0",Data Abril,2026-04-05
Terceiro Sabado, 17h , Cid. Soinco ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJiVVcf3SKzpQRxHvOxjcjAiw,Data Abril,2026-04-18
